Dato,Styringsrente,Døgnlånsrente,Reserverente
08.02.1993,"9,50",9.5,
03.02.1993,"9,75",9.75,
15.01.1993,"10,00",10,
07.01.1993,"10,50",10.5,
10.12.1992,"11,00",11,
07.12.1992,"16,00",16,
30.11.1992,"17,00",17,
23.11.1992,"25,00",25,
20.11.1992,"17,00",17,
09.11.1992,"10,00",10,
02.11.1992,"10,50",10.5,
28.10.1992,"11,00",11,
07.09.1992,"11,00",11,
01.04.1992,"10,00",10,
08.01.1992,"10,00",10,
19.09.1991,"10,00",10,
28.05.1991,"9,50",9.5,
29.04.1991,"9,75",9.75,
11.04.1991,"10,00",10,
18.03.1991,"10,20",10.2,
01.01.1991,"10,50",10.5,
27.08.1990,"10,50",10.5,
16.11.1989,"11,00",11,
22.06.1989,"10,00",10,
09.05.1989,"10,50",10.5,
14.02.1989,"11,00",11,
10.01.1989,"11,50",11.5,
05.12.1988,"12,00",12,
24.10.1988,"12,40",12.4,
10.06.1988,"12,80",12.8,
09.05.1988,"13,30",13.3,
16.02.1987,"13,80",13.8,
03.02.1987,"14,20",14.2,
28.01.1987,"14,50",14.5,
17.12.1986,"14,80",14.8,
16.12.1986,"15,50",15.5,
02.12.1986,"16,00",16,
12.05.1986,"14,00",14,
07.05.1986,"50,00",50,
05.05.1986,"30,00",30,
02.05.1986,"14,00",14,
13.01.1986,"13,00",13,
